Fecha De Transaccion,Codigo De Organizacion,Articulo,Descripcion,Cantidad  Transacción,Costo  Total  Transacción,Unidad de Medida Primaria,Subinventario,Localizador,Subinventario Transferencia,Lpn Transferido,Tipo De Origen,Accion,Tipo De Transaccion,Usuario,TURNO,Lpn Contenido,Origen,Cliente,CLIENTE,Lpn
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04535710,Sales order,Transferencia en etapas,Sales Order Pick  ,WROJAS,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534764,Sales order,Transferencia en etapas,Sales Order Pick  ,AGARROT,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534763,Sales order,Transferencia en etapas,Sales Order Pick  ,AGARROT,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534755,Sales order,Transferencia en etapas,Sales Order Pick  ,AGARROT,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534662,Sales order,Transferencia en etapas,Sales Order Pick  ,FBULLON,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534642,Sales order,Transferencia en etapas,Sales Order Pick  ,FBULLON,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534430,Sales order,Transferencia en etapas,Sales Order Pick  ,DMACIEL,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,ALMACEN,C02-000-000,PORTONES,B2C04534431,Sales order,Transferencia en etapas,Sales Order Pick  ,DMACIEL,TARDE,,,,B2C,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,SLEDESMA,TARDE,B2C04534764,,,,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,SLEDESMA,TARDE,B2C04534763,,,,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,SLEDESMA,TARDE,B2C04534755,,,,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,AGARROT,TARDE,B2C04534662,,,,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,AGARROT,TARDE,B2C04534430,,,,
11-05-2026,PL2,"=""9140A42K""","TV Hisense 40"" FHD A4",-1,"-199249,46650984785615491009681881051176",EA,PORTONES,S15-000-000,,,Sales order,Emitir desde almacenes,Sales order issue  ,AGARROT,TARDE,B2C04534431,,,,
